text,pattern_type,pattern_name,manipulative_phrases
Would you like to save your progress?,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Enter your email to create an account,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Choose your preferred settings,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Choose your preferred settings,0,none,
Sign up for our newsletter to receive updates,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Create an account to view prices,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
Please login to access this feature,1,forced_action,must|required|only way|forced|need to
You must accept cookies to continue browsing,1,forced_action,must|required|only way|forced|need to
Sign up now to read this article,1,forced_action,must|required|only way|forced|need to
Download our app to see the full content,1,forced_action,must|required|only way|forced|need to
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No, I don't want to support creators",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
Skip and continue with basic features,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
"No thanks, I don't want to save money",2,confirmshaming,no thanks|i prefer|skip and|pass on
I'll pass on this exclusive offer,2,confirmshaming,no thanks|i prefer|skip and|pass on
I prefer paying full price,2,confirmshaming,no thanks|i prefer|skip and|pass on
